time,t,T,s,i,open,close,high,low,volume,n
2026-01-01 21:30:00,1767303000000,1767303059999,DOGE,1m,0.12579,0.12579,0.12579,0.12579,142.0,1
2026-01-01 21:31:00,1767303060000,1767303119999,DOGE,1m,0.12573,0.12568,0.12573,0.12568,3780.0,3
2026-01-01 21:32:00,1767303120000,1767303179999,DOGE,1m,0.12568,0.12568,0.12568,0.12568,0.0,0
2026-01-01 21:33:00,1767303180000,1767303239999,DOGE,1m,0.12568,0.12573,0.12573,0.12561,118859.0,37
2026-01-01 21:34:00,1767303240000,1767303299999,DOGE,1m,0.12575,0.12575,0.12575,0.12574,8925.0,5
2026-01-01 21:35:00,1767303300000,1767303359999,DOGE,1m,0.12576,0.12578,0.12578,0.12576,26585.0,6
2026-01-01 21:36:00,1767303360000,1767303419999,DOGE,1m,0.12587,0.12583,0.12587,0.12583,4497.0,3
2026-01-01 21:37:00,1767303420000,1767303479999,DOGE,1m,0.12584,0.12584,0.12584,0.12584,132.0,1
2026-01-01 21:38:00,1767303480000,1767303539999,DOGE,1m,0.12585,0.12587,0.12587,0.12585,155917.0,14
2026-01-01 21:39:00,1767303540000,1767303599999,DOGE,1m,0.12584,0.1259,0.1259,0.12583,157916.0,10
2026-01-01 21:40:00,1767303600000,1767303659999,DOGE,1m,0.12585,0.12587,0.12587,0.12585,547.0,2
2026-01-01 21:41:00,1767303660000,1767303719999,DOGE,1m,0.12585,0.12583,0.12585,0.12583,219238.0,23
2026-01-01 21:42:00,1767303720000,1767303779999,DOGE,1m,0.12585,0.12581,0.12586,0.12581,1088.0,3
2026-01-01 21:43:00,1767303780000,1767303839999,DOGE,1m,0.12578,0.12578,0.12578,0.12578,155.0,1
2026-01-01 21:44:00,1767303840000,1767303899999,DOGE,1m,0.12575,0.12572,0.12575,0.12572,18000.0,5
2026-01-01 21:45:00,1767303900000,1767303959999,DOGE,1m,0.12573,0.12573,0.12573,0.12573,1079.0,2
2026-01-01 21:46:00,1767303960000,1767304019999,DOGE,1m,0.12576,0.12579,0.12579,0.12576,3136.0,2
2026-01-01 21:47:00,1767304020000,1767304079999,DOGE,1m,0.12576,0.12576,0.12576,0.12576,385.0,1
2026-01-01 21:48:00,1767304080000,1767304139999,DOGE,1m,0.12585,0.12588,0.12588,0.12583,739.0,3
2026-01-01 21:49:00,1767304140000,1767304199999,DOGE,1m,0.12586,0.12592,0.12592,0.12585,63778.0,10
2026-01-01 21:50:00,1767304200000,1767304259999,DOGE,1m,0.12589,0.12589,0.12589,0.12589,139.0,1
2026-01-01 21:51:00,1767304260000,1767304319999,DOGE,1m,0.12596,0.12596,0.12596,0.12596,22493.0,1
2026-01-01 21:52:00,1767304320000,1767304379999,DOGE,1m,0.12596,0.12596,0.12596,0.12596,0.0,0
2026-01-01 21:53:00,1767304380000,1767304439999,DOGE,1m,0.12599,0.126,0.126,0.12599,25618.0,4
2026-01-01 21:54:00,1767304440000,1767304499999,DOGE,1m,0.12601,0.12602,0.12602,0.126,1367.0,5
2026-01-01 21:55:00,1767304500000,1767304559999,DOGE,1m,0.12603,0.12599,0.12603,0.12599,4638.0,2
2026-01-01 21:56:00,1767304560000,1767304619999,DOGE,1m,0.12598,0.12596,0.12598,0.12596,30472.0,11
2026-01-01 21:57:00,1767304620000,1767304679999,DOGE,1m,0.12596,0.12596,0.12596,0.12596,0.0,0
2026-01-01 21:58:00,1767304680000,1767304739999,DOGE,1m,0.12593,0.12607,0.12607,0.12593,9316.0,3
2026-01-01 21:59:00,1767304740000,1767304799999,DOGE,1m,0.12608,0.1262,0.12624,0.12606,3400.0,8
2026-01-01 22:00:00,1767304800000,1767304859999,DOGE,1m,0.12622,0.12636,0.12637,0.12622,133872.0,24
2026-01-01 22:01:00,1767304860000,1767304919999,DOGE,1m,0.12636,0.12641,0.12645,0.12636,42013.0,36
2026-01-01 22:02:00,1767304920000,1767304979999,DOGE,1m,0.12643,0.12634,0.12643,0.12634,32467.0,7
2026-01-01 22:03:00,1767304980000,1767305039999,DOGE,1m,0.12641,0.12657,0.12662,0.12641,24048.0,7
2026-01-01 22:04:00,1767305040000,1767305099999,DOGE,1m,0.1266,0.1265,0.12662,0.1265,26563.0,7
2026-01-01 22:05:00,1767305100000,1767305159999,DOGE,1m,0.12662,0.12661,0.12662,0.12661,6995.0,4
2026-01-01 22:06:00,1767305160000,1767305219999,DOGE,1m,0.12662,0.12662,0.12662,0.12662,117.0,1
2026-01-01 22:07:00,1767305220000,1767305279999,DOGE,1m,0.12665,0.1267,0.1267,0.12665,2052.0,3
2026-01-01 22:08:00,1767305280000,1767305339999,DOGE,1m,0.12672,0.1268,0.12684,0.12672,6759.0,8
2026-01-01 22:09:00,1767305340000,1767305399999,DOGE,1m,0.12674,0.12674,0.12674,0.12674,937.0,1
2026-01-01 22:10:00,1767305400000,1767305459999,DOGE,1m,0.12676,0.12676,0.12676,0.12676,8036.0,2
2026-01-01 22:11:00,1767305460000,1767305519999,DOGE,1m,0.12677,0.12676,0.12677,0.12676,2831.0,7
2026-01-01 22:12:00,1767305520000,1767305579999,DOGE,1m,0.1268,0.12655,0.1268,0.12654,53927.0,9
2026-01-01 22:13:00,1767305580000,1767305639999,DOGE,1m,0.12659,0.12661,0.12661,0.12657,98107.0,18
2026-01-01 22:14:00,1767305640000,1767305699999,DOGE,1m,0.1266,0.1266,0.1266,0.1266,10000.0,1
2026-01-01 22:15:00,1767305700000,1767305759999,DOGE,1m,0.12666,0.12665,0.12666,0.12664,5004.0,3
2026-01-01 22:16:00,1767305760000,1767305819999,DOGE,1m,0.12664,0.1267,0.1267,0.12664,107191.0,10
2026-01-01 22:17:00,1767305820000,1767305879999,DOGE,1m,0.1267,0.1267,0.12671,0.12664,132488.0,13
2026-01-01 22:18:00,1767305880000,1767305939999,DOGE,1m,0.12673,0.12673,0.12673,0.12673,14592.0,1
2026-01-01 22:19:00,1767305940000,1767305999999,DOGE,1m,0.12666,0.12662,0.12668,0.12662,174535.0,25
2026-01-01 22:20:00,1767306000000,1767306059999,DOGE,1m,0.12659,0.12658,0.12659,0.12658,26080.0,2
2026-01-01 22:21:00,1767306060000,1767306119999,DOGE,1m,0.12679,0.12664,0.12679,0.12664,36059.0,12
2026-01-01 22:22:00,1767306120000,1767306179999,DOGE,1m,0.12671,0.12671,0.12671,0.12671,23675.0,3
2026-01-01 22:23:00,1767306180000,1767306239999,DOGE,1m,0.12665,0.12663,0.12665,0.12663,85900.0,12
2026-01-01 22:24:00,1767306240000,1767306299999,DOGE,1m,0.12667,0.12667,0.12667,0.12667,80.0,1
2026-01-01 22:25:00,1767306300000,1767306359999,DOGE,1m,0.12673,0.12677,0.12677,0.12673,289.0,2
2026-01-01 22:26:00,1767306360000,1767306419999,DOGE,1m,0.12672,0.12672,0.12672,0.12672,20353.0,4
2026-01-01 22:27:00,1767306420000,1767306479999,DOGE,1m,0.12672,0.12672,0.12672,0.12672,103654.0,1
2026-01-01 22:28:00,1767306480000,1767306539999,DOGE,1m,0.12668,0.12668,0.12668,0.12668,144.0,1
2026-01-01 22:29:00,1767306540000,1767306599999,DOGE,1m,0.12672,0.12674,0.12674,0.12672,3568.0,2
2026-01-01 22:30:00,1767306600000,1767306659999,DOGE,1m,0.12682,0.12677,0.12682,0.12675,14487.0,6
2026-01-01 22:31:00,1767306660000,1767306719999,DOGE,1m,0.12678,0.12685,0.12692,0.12678,12351.0,12
2026-01-01 22:32:00,1767306720000,1767306779999,DOGE,1m,0.12679,0.12665,0.12679,0.12665,8523.0,5
2026-01-01 22:33:00,1767306780000,1767306839999,DOGE,1m,0.1266,0.12661,0.12662,0.1266,84412.0,10
2026-01-01 22:34:00,1767306840000,1767306899999,DOGE,1m,0.12652,0.12639,0.12652,0.12639,59720.0,14
2026-01-01 22:35:00,1767306900000,1767306959999,DOGE,1m,0.12637,0.12626,0.12637,0.12624,105785.0,22
2026-01-01 22:36:00,1767306960000,1767307019999,DOGE,1m,0.12626,0.12624,0.12629,0.12624,7707.0,4
2026-01-01 22:37:00,1767307020000,1767307079999,DOGE,1m,0.12635,0.12635,0.12635,0.12635,428.0,1
2026-01-01 22:38:00,1767307080000,1767307139999,DOGE,1m,0.12637,0.12645,0.12645,0.12637,1120.0,3
2026-01-01 22:39:00,1767307140000,1767307199999,DOGE,1m,0.12632,0.12629,0.12632,0.12629,10407.0,3
2026-01-01 22:40:00,1767307200000,1767307259999,DOGE,1m,0.12624,0.12624,0.12624,0.12623,83289.0,10
2026-01-01 22:41:00,1767307260000,1767307319999,DOGE,1m,0.12641,0.12641,0.12641,0.12641,2376.0,1
2026-01-01 22:42:00,1767307320000,1767307379999,DOGE,1m,0.12643,0.12643,0.12643,0.12643,855.0,1
2026-01-01 22:43:00,1767307380000,1767307439999,DOGE,1m,0.12635,0.12635,0.12635,0.12635,691.0,1
2026-01-01 22:44:00,1767307440000,1767307499999,DOGE,1m,0.12638,0.12638,0.12638,0.12638,128.0,1
2026-01-01 22:45:00,1767307500000,1767307559999,DOGE,1m,0.1264,0.1264,0.1264,0.1264,1805.0,3
2026-01-01 22:46:00,1767307560000,1767307619999,DOGE,1m,0.12638,0.12648,0.12648,0.12638,30510.0,5
2026-01-01 22:47:00,1767307620000,1767307679999,DOGE,1m,0.12641,0.12641,0.12641,0.12641,158.0,1
2026-01-01 22:48:00,1767307680000,1767307739999,DOGE,1m,0.1265,0.1265,0.1265,0.1265,831.0,1
2026-01-01 22:49:00,1767307740000,1767307799999,DOGE,1m,0.1264,0.1264,0.1264,0.1264,1190.0,1
2026-01-01 22:50:00,1767307800000,1767307859999,DOGE,1m,0.12648,0.12646,0.12648,0.12646,396.0,2
2026-01-01 22:51:00,1767307860000,1767307919999,DOGE,1m,0.12646,0.12646,0.12646,0.12646,0.0,0
2026-01-01 22:52:00,1767307920000,1767307979999,DOGE,1m,0.12652,0.12659,0.12659,0.12652,200299.0,9
2026-01-01 22:53:00,1767307980000,1767308039999,DOGE,1m,0.12658,0.12654,0.12658,0.12653,11021.0,6
2026-01-01 22:54:00,1767308040000,1767308099999,DOGE,1m,0.12657,0.12657,0.12657,0.12657,144.0,1
2026-01-01 22:55:00,1767308100000,1767308159999,DOGE,1m,0.12654,0.12655,0.12655,0.12654,4508.0,2
2026-01-01 22:56:00,1767308160000,1767308219999,DOGE,1m,0.12652,0.12652,0.12652,0.12652,150.0,1
2026-01-01 22:57:00,1767308220000,1767308279999,DOGE,1m,0.12653,0.12653,0.12653,0.12653,21082.0,2
2026-01-01 22:58:00,1767308280000,1767308339999,DOGE,1m,0.12653,0.12653,0.12653,0.12653,166.0,1
2026-01-01 22:59:00,1767308340000,1767308399999,DOGE,1m,0.12658,0.12658,0.12658,0.12658,350.0,1
2026-01-01 23:00:00,1767308400000,1767308459999,DOGE,1m,0.12661,0.12684,0.12688,0.12661,586790.0,22
2026-01-01 23:01:00,1767308460000,1767308519999,DOGE,1m,0.12686,0.12682,0.12686,0.12681,2966.0,5
2026-01-01 23:02:00,1767308520000,1767308579999,DOGE,1m,0.1268,0.12656,0.1268,0.12656,28520.0,7
2026-01-01 23:03:00,1767308580000,1767308639999,DOGE,1m,0.12657,0.12646,0.12658,0.12645,28158.0,10
2026-01-01 23:04:00,1767308640000,1767308699999,DOGE,1m,0.12654,0.12642,0.12654,0.12642,21478.0,6
2026-01-01 23:05:00,1767308700000,1767308759999,DOGE,1m,0.12642,0.12637,0.12644,0.12637,36695.0,9
2026-01-01 23:06:00,1767308760000,1767308819999,DOGE,1m,0.12643,0.12649,0.12649,0.12643,20931.0,3
2026-01-01 23:07:00,1767308820000,1767308879999,DOGE,1m,0.12662,0.12668,0.12668,0.12658,28387.0,5
2026-01-01 23:08:00,1767308880000,1767308939999,DOGE,1m,0.1267,0.12667,0.1267,0.12667,23766.0,3
2026-01-01 23:09:00,1767308940000,1767308999999,DOGE,1m,0.12674,0.12679,0.12679,0.12674,20513.0,5
2026-01-01 23:10:00,1767309000000,1767309059999,DOGE,1m,0.12679,0.1269,0.1269,0.12678,23024.0,7
2026-01-01 23:11:00,1767309060000,1767309119999,DOGE,1m,0.1268,0.12671,0.1268,0.12671,55935.0,13
2026-01-01 23:12:00,1767309120000,1767309179999,DOGE,1m,0.12669,0.12675,0.12676,0.12669,22033.0,8
2026-01-01 23:13:00,1767309180000,1767309239999,DOGE,1m,0.12679,0.12681,0.12681,0.12679,13874.0,3
