Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,200)","Exit_ta_wrapper(ema,C,200)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)"
14,10199,10239,65518.15,66500.0,65035.80576,66500.0,11897.64589999998,1848.2541,0.01297093782409906,2024-10-15 03:45:00,2024-10-15 13:45:00,0 days 10:00:00,,64396.011074491194,64830.14895241339,21.764201187584515,22.242503289150115,226.069092,468.4119875
14,12280,12298,68995.99,70577.91,68764.69364,70577.91,20192.845399999977,1954.0346,0.020904781567740467,2024-11-05 20:00:00,2024-11-06 00:30:00,0 days 04:30:00,,68866.50767618812,68991.74829002202,37.73938667439201,25.710435214978027,579.8921685,533.4105935
12,12763,12763,79216.0,79073.652,79073.652,80875.0,-3607.6518239999778,1899.475824,-0.003795163249848537,2024-11-10 20:45:00,2024-11-10 20:45:00,0 days 00:00:00,,77844.78666600911,77844.78666600911,25.892001402542817,25.892001402542817,741.62997105,741.62997105
11,12916,12923,86787.52,86353.57244999999,86353.57244999999,89940.0,-6677.975066950128,1904.55201695,-0.006995114533172643,2024-11-12 11:00:00,2024-11-12 12:45:00,0 days 01:45:00,,84056.03048280037,84262.2046921631,24.04904614043841,30.49538158897431,1336.81836105,1303.0483410000002
11,12984,13026,87136.0,89876.94,86052.20775999999,89876.94,28203.197660000027,1947.14234,0.02942442916819678,2024-11-13 04:00:00,2024-11-13 14:30:00,0 days 10:30:00,,85892.03256910475,86500.69729666466,20.90978985065377,30.537456879347577,615.4412924999999,873.47380275
11,13507,13507,90591.28,90165.09616000002,90165.09616000002,92300.0,-6676.342377759816,1988.3201377600003,-0.0066997642174829695,2024-11-18 14:45:00,2024-11-18 14:45:00,0 days 00:00:00,,90542.40492610478,90542.40492610478,35.55371979686675,35.55371979686675,577.7192689999999,577.7192689999999
11,13653,13653,91664.81,91573.46084,91573.46084,93905.51,-3020.4617392399773,2015.62097924,-0.002995559919231803,2024-11-20 03:15:00,2024-11-20 03:15:00,0 days 00:00:00,,91615.16369817911,91615.16369817911,28.769316466226357,28.769316466226357,281.0662775,281.0662775
10,13799,13810,96234.52,98384.86,94926.35144,98384.86,19557.206199999964,1946.1938,0.020322443755109974,2024-11-21 15:45:00,2024-11-21 18:30:00,0 days 02:45:00,,94686.64925902581,94987.7507896416,24.22366780837566,18.303030085188976,1038.954556,967.9938044999999
10,14423,14551,95210.95,97208.21,93910.38200000001,97208.21,18048.408400000095,1924.1916,0.018956231819974682,2024-11-28 03:45:00,2024-11-29 11:45:00,1 days 08:00:00,,94766.84450128868,95524.16047486539,22.95939351396503,28.783842607383153,402.9740785000001,267.54278300000004
10,14625,14625,96865.97,96781.11856,96781.11856,98619.99,-2784.985285599985,1936.4708856,-0.002875091516246581,2024-11-30 06:15:00,2024-11-30 06:15:00,0 days 00:00:00,,96349.33758416736,96349.33758416736,21.440697802029494,21.440697802029494,198.7416565,198.7416565
10,14626,14626,96862.77,96744.40060000001,96744.40060000001,98440.0,-3119.7657059999597,1936.0717060000002,-0.0032208099210873408,2024-11-30 06:30:00,2024-11-30 06:30:00,0 days 00:00:00,,96355.30725994679,96355.30725994679,20.33601166618591,20.33601166618591,197.73494750000003,197.73494750000003
10,15147,15159,101176.46,99279.82568,99279.82568,104088.0,-20970.90605680012,2004.5628568000002,-0.020727060481064544,2024-12-05 16:45:00,2024-12-05 19:45:00,0 days 03:00:00,,99124.34210715049,99290.14031635885,29.190661217735393,36.96470653832126,987.98336,1142.3769455000001
10,15270,15492,99404.25,98407.15292,98407.15292,101898.99,-11949.084829200068,1978.1140292,-0.01202069813835933,2024-12-06 23:30:00,2024-12-09 07:00:00,2 days 07:30:00,,99150.83707113791,99625.2713903871,28.857057380635474,25.391945091715712,352.56948600000004,301.750393
10,15523,15525,99613.75,98642.21996,98642.21996,101351.0,-11697.860099599979,1982.5596996000002,-0.011743218280207229,2024-12-09 14:45:00,2024-12-09 15:15:00,0 days 00:30:00,,99415.98802916086,99404.6430871216,23.09505504160493,23.128035753541585,409.8824605,493.37432050000007
9,15830,15830,99932.01,99432.34994999999,99432.34994999999,102540.0,-6291.219689550053,1794.27923955,-0.006995000000000005,2024-12-12 19:30:00,2024-12-12 19:30:00,0 days 00:00:00,,99904.58631020338,99904.58631020338,22.470663204506288,22.470663204506288,506.1878480000001,506.1878480000001
9,16185,16187,104060.45,103442.906,103442.906,106648.0,-7425.42620399995,1867.5302040000001,-0.007928539190441605,2024-12-16 12:15:00,2024-12-16 12:45:00,0 days 00:30:00,,103143.78976222874,103153.50445073195,21.95936073292296,25.624883516678683,255.644299,276.409446
9,16189,16200,104039.67,106648.0,103715.43252,106648.0,21578.780970000014,1896.18903,0.023045462658618596,2024-12-16 13:15:00,2024-12-16 16:00:00,0 days 02:45:00,,103171.29374058652,103403.15985631994,25.555444045034445,32.71184371515527,299.7880615,573.630308
9,16333,16334,106290.45,106103.7826,106103.7826,108353.0,-3591.5546933999203,1911.5480934,-0.0037544448499370717,2024-12-18 01:15:00,2024-12-18 01:30:00,0 days 00:15:00,,105797.562733096,105799.6364372443,24.718068783523243,24.59927996932807,240.40713100000002,242.9988145
10,17676,17679,94401.13,93813.91364,93813.91364,96250.0,-7754.314036400058,1882.1504364000002,-0.008214217389558852,2025-01-01 01:00:00,2025-01-01 01:45:00,0 days 00:45:00,,93923.95675486427,93919.84551430943,32.54101794492216,27.552946409791996,132.31014600000003,116.608224
