Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,9)","Exit_ta_wrapper(ema,C,9)","Entry_ta_wrapper(ema,C,21)","Exit_ta_wrapper(ema,C,21)","Entry_ta_wrapper(rsi,C,14)","Exit_ta_wrapper(rsi,C,14)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
15,7290,7309,60004.5,60227.447386062144,59855.85174262524,60227.447386062144,1540.7315801412246,1803.479210790932,0.0017117955932652593,2024-09-14 20:30:00,2024-09-15 01:15:00,0 days 04:45:00,,59870.66526673056,60073.16434026714,59852.30350729331,60016.42096884232,56.6945474884743,65.32546986574812,134.9046275,72.0282415,121.69555630190109,91.02575833581176
15,7357,7357,60174.04,60300.48670464416,60089.75886357056,60300.48670464416,89.5826690926906,1807.1179005696622,9.924841243025805e-05,2024-09-15 13:15:00,2024-09-15 13:15:00,0 days 00:00:00,,60083.58497615517,60083.58497615517,60066.398458542666,60066.398458542666,63.15243875848584,63.15243875848584,92.21570399999999,92.21570399999999,77.86385557039851,77.86385557039851
14,7797,7799,63175.24,63524.518001865545,62942.40466542297,63524.518001865545,3116.095414091536,1773.7966120261176,0.003523187942992836,2024-09-20 03:15:00,2024-09-20 03:45:00,0 days 00:30:00,,63059.53719429306,63245.924604347565,63011.95607177929,63108.026175024206,61.92527947578739,73.66129455478321,188.25402799999998,198.7058615,196.0350803274641,203.25279885378296
15,7869,7884,63289.58,63023.26975453573,63023.26975453573,63689.045368196406,-5889.346428282119,1894.692746318036,-0.006203597736291032,2024-09-20 21:15:00,2024-09-21 01:00:00,0 days 03:45:00,,62974.66853601801,63133.66174376645,62933.708542173496,63097.20638664946,58.804713041828215,47.81443521297929,187.25469850000002,103.29446300000001,213.22340422830484,162.14212313590446
14,7974,7975,63288.0,63415.16814261551,63203.22123825633,63415.16814261551,6.509642620549357,1773.8443539966172,7.3469610810043655e-06,2024-09-21 23:30:00,2024-09-21 23:45:00,0 days 00:15:00,,63215.48329681878,63242.17863745503,63192.20253794724,63206.45321631567,64.54958978838432,63.5678822094137,54.656187,70.453655,72.78547039688927,84.67507965425418
15,8045,8055,62952.01,63204.365256829864,62783.75649544675,63204.365256829864,1892.9832235954805,1892.345628852448,0.002004683910379329,2024-09-22 17:15:00,2024-09-22 19:45:00,0 days 02:30:00,,62792.38157615378,62966.68575954096,62750.32800322701,62891.755222815955,60.09031041495017,63.27441795395935,156.76827200000002,133.91981350000003,137.86699757096264,137.2267249999386
14,8067,8067,63500.76,63935.60920513111,63210.84386324592,63935.60920513111,4303.779702963724,1784.1091688718357,0.004841089081862541,2024-09-22 22:45:00,2024-09-22 22:45:00,0 days 00:00:00,,63228.68688299564,63228.68688299564,63097.90717069602,63097.90717069602,69.5610069397362,69.5610069397362,243.98786400000003,243.98786400000003,259.9928439168452,259.9928439168452
14,8239,8242,63817.99,63559.1246927592,63559.1246927592,64206.3129608612,-5407.393907069799,1783.279605698629,-0.006052249873954948,2024-09-24 17:45:00,2024-09-24 18:30:00,0 days 00:45:00,,63483.523645956455,63583.63930672972,63395.11123237604,63465.74140674383,63.77391439741579,62.136579623425284,355.3860315,364.326672,216.85303536490576,228.31749588072051
14,8471,8489,65286.0,65611.69675318521,65068.86883120985,65611.69675318521,2727.1867900483935,1832.5677545445928,0.0029837799288059174,2024-09-27 03:45:00,2024-09-27 08:15:00,0 days 04:30:00,,65123.6156617653,65468.67318375591,65084.88586161827,65365.438593509396,62.17006918114186,63.71542656757436,153.36970649999998,226.20990550000005,179.8110234685633,158.4258927363687
14,8507,8510,65790.93,65590.82614197208,65590.82614197208,66091.06078704189,-4640.798598378388,1839.3445859876092,-0.005038469803814623,2024-09-27 12:45:00,2024-09-27 13:30:00,0 days 00:45:00,,65587.2644543762,65574.20980064062,65544.60806352411,65550.9030529858,60.67936372163103,45.7471741984735,268.99962400000004,269.8192325,168.975961569227,176.02041456544822
