Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,"Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
14,9461,9471,62918.67,63363.43350000001,62679.73245737598,63363.43350000001,4458.739551000115,1767.9494490000002,0.005061794797951132,2024-10-07 11:15:00,2024-10-07 13:45:00,0 days 02:30:00,,63911.2946379671,63413.5378371446,28.920163979808006,26.897416808499145,157.3141930529614,201.54749680550685
13,10199,10206,65518.15,65247.001413602775,65247.001413602775,65929.09199999999,-5224.8785915407825,1699.9469683768361,-0.0061343877659981,2024-10-15 03:45:00,2024-10-15 05:30:00,0 days 01:45:00,,66309.47638475576,66057.86063376865,21.764201187584515,24.45046114336233,184.53960110304624,173.4409312725976
13,10431,10432,67211.99,66908.76057175834,66908.76057175834,67884.12,-5685.552324574564,1743.5697574328585,-0.006507026184069679,2024-10-17 13:45:00,2024-10-17 14:00:00,0 days 00:15:00,,67413.60677147743,67358.95871058865,16.77765568343342,18.013427234163558,214.50821748293185,227.7576305198653
12,10719,10753,68407.99,69092.0699,68310.32605432252,69092.0699,6558.958081199964,1650.0007188000002,0.00799000000000001,2024-10-20 13:45:00,2024-10-20 22:15:00,0 days 08:30:00,,68505.20990343053,68940.10090437584,25.05478175388437,22.7433923479578,66.03077589558367,141.3037437913673
13,10799,10813,68280.68,68035.87106547356,68035.87106547356,68724.551,-4954.631312694755,1772.115163851156,-0.005581747070941676,2024-10-21 09:45:00,2024-10-21 13:15:00,0 days 03:30:00,,69255.28016624652,68570.86241868275,28.27673647218263,38.36843470054329,163.42862613541635,173.5564651757834
13,10895,10901,66828.0,67399.102,66533.96242482851,67399.102,5679.373673999986,1744.952326,0.006537303196264995,2024-10-22 09:45:00,2024-10-22 11:15:00,0 days 01:30:00,,68003.31598563334,67789.61434503052,27.828888867921155,24.291531051110255,196.10159415377734,186.6807530272517
13,10966,10984,66954.62,66726.04822556922,66726.04822556922,67312.2225,-4709.281754532497,1737.8486869323997,-0.005410417423866281,2024-10-23 03:30:00,2024-10-23 08:00:00,0 days 04:30:00,,67661.97344338713,67322.29227438437,21.823702035785157,22.044414020196996,151.10324131429334,150.35893297568973
13,11173,11173,67488.0,67272.31292837056,67272.31292837056,67851.7755,-4555.815999251487,1751.8840680688174,-0.005192736257672609,2024-10-25 07:15:00,2024-10-25 07:15:00,0 days 00:00:00,,68249.5566429457,68249.5566429457,24.001255617636225,24.001255617636225,154.984139580125,154.984139580125
12,11499,11500,68909.09,68538.57129932975,68538.57129932975,69598.18089999999,-6095.596343634923,1649.371935591957,-0.007371543608681804,2024-10-28 16:45:00,2024-10-28 17:00:00,0 days 00:15:00,,69147.96863216016,69154.25202775649,23.364856541329047,23.507345077309736,248.70729089110236,260.94677011316634
12,11501,11508,68903.99,69593.04,68512.57984483025,69593.04,6606.63563999986,1661.9643600000002,0.007990146434190314,2024-10-28 17:15:00,2024-10-28 19:00:00,0 days 01:45:00,,69157.58225667989,69400.44208284002,23.50950248544262,18.100799549835834,251.9891436765122,274.3425090224784
